id,title_type,title,year,runtime,genre,score,num_votes,christmas,hanukkah,kwanzaa,holiday
tt0155570,TV Movie,Bugs Bunny's Holiday Diet,1979,30,Animation,6.4,118,FALSE,FALSE,FALSE,TRUE
tt0155753,Feature Film,I'll Be Home for Christmas,1998,86,Comedy,5.5,11463,TRUE,FALSE,FALSE,FALSE
tt0156400,TV Movie,The Christmas Wish,1998,93,Drama,6.9,768,TRUE,FALSE,FALSE,FALSE
tt0158515,TV Movie,Nilus the Sandman: The Boy Who Dreamed Christmas,1991,30,Animation,6.8,41,TRUE,FALSE,FALSE,FALSE
tt0158530,Feature Film,Merry Christmas... Happy New Year,1989,100,Comedy,6.2,130,TRUE,FALSE,FALSE,FALSE
tt0164648,TV Movie,A Holiday to Remember,1995,90,Drama,6.1,669,FALSE,FALSE,FALSE,TRUE
tt0164654,Feature Film,Hot Pants Holiday,1971,84,Drama,3.5,15,FALSE,FALSE,FALSE,TRUE
tt0170016,Feature Film,How the Grinch Stole Christmas,2000,104,Comedy,6.3,276568,TRUE,FALSE,FALSE,FALSE
tt0170547,Feature Film,Santa's Christmas Circus,1966,60,Family,2,187,TRUE,FALSE,FALSE,FALSE
tt0172238,TV Movie,A Child's Christmas in Wales,1987,55,Drama,7.7,629,TRUE,FALSE,FALSE,FALSE
tt0173731,TV Movie,Christmas at Home,1990,60,Other,8.5,36,TRUE,FALSE,FALSE,FALSE
tt0174550,TV Movie,A Christmas for Boomer,1979,48,Other,7.7,20,TRUE,FALSE,FALSE,FALSE
tt0176292,TV Movie,Christmas Wafer,1977,64,Family,7.3,29,TRUE,FALSE,FALSE,FALSE
tt0176987,TV Movie,A Merry Mirthworm Christmas,1984,24,Animation,7,58,TRUE,FALSE,FALSE,FALSE
tt0178787,Feature Film,The Poor People's Christmas,1947,71,Comedy,5.4,25,TRUE,FALSE,FALSE,FALSE
tt0179682,TV Movie,"Bluetoes, the Christmas Elf",1988,23,Animation,7.5,96,TRUE,FALSE,FALSE,FALSE
tt0180860,TV Movie,Naked City: A Killer Christmas,1998,95,Other,5.1,214,TRUE,FALSE,FALSE,FALSE
tt0180984,Feature Film,Scream Queens' Naked Christmas,1996,60,Other,4.4,67,TRUE,FALSE,FALSE,FALSE
tt0181570,TV Movie,"Happy Christmas, Miss King",1998,120,Drama,7.5,625,TRUE,FALSE,FALSE,FALSE
tt0182015,TV Movie,A Cosmic Christmas,1977,26,Animation,6.7,235,TRUE,FALSE,FALSE,FALSE
tt0182307,Feature Film,Husband's Holiday,1975,90,Comedy,6.3,65,FALSE,FALSE,FALSE,TRUE
tt0182983,TV Movie,Inheritance Up Christmas,1995,90,Comedy,5.4,442,TRUE,FALSE,FALSE,FALSE
tt0183681,Feature Film,Friday Is No Holiday,1980,83,Comedy,5.8,51,FALSE,FALSE,FALSE,TRUE
tt0187774,TV Movie,Carry on Christmas,1973,50,Comedy,5.9,257,TRUE,FALSE,FALSE,FALSE
tt0187775,TV Movie,Carry on Christmas: Carry on Stuffing,1972,50,Comedy,5.5,205,TRUE,FALSE,FALSE,FALSE
tt0188504,TV Movie,A Christmas Carol,1977,58,Drama,6.5,555,TRUE,FALSE,FALSE,FALSE
tt0189741,Feature Film,Future Memories: Last Christmas,1992,118,Romance,6.9,56,TRUE,FALSE,FALSE,FALSE
tt0193163,TV Movie,A Flintstone Christmas,1977,60,Animation,6.8,925,TRUE,FALSE,FALSE,FALSE
tt0193164,TV Movie,A Flintstones Christmas Carol,1994,69,Animation,6.8,1558,TRUE,FALSE,FALSE,FALSE
tt0193430,Feature Film,Holiday in Sarajevo,1991,87,Drama,7.2,185,FALSE,FALSE,FALSE,TRUE
tt0193524,TV Movie,The Star Wars Holiday Special,1978,97,Other,2.1,16397,FALSE,FALSE,FALSE,TRUE
tt0195039,Feature Film,Magic Christmas Tree,1964,60,Family,2.4,308,TRUE,FALSE,FALSE,FALSE
tt0196565,Feature Film,Mediterranean Holiday,1962,158,Other,7.5,87,FALSE,FALSE,FALSE,TRUE
tt0198321,TV Movie,"Bah, Humbug!: The Story of Charles Dickens' 'A Christmas Carol'",1994,58,Family,7.7,54,TRUE,FALSE,FALSE,FALSE
tt0199161,TV Movie,Yogi's First Christmas,1980,98,Animation,7.1,996,TRUE,FALSE,FALSE,FALSE
tt0200245,Feature Film,Christmas Vacation 2000,1999,110,Comedy,4.3,1182,TRUE,FALSE,FALSE,FALSE
tt0208654,TV Movie,'Twas the Night Before Christmas,1974,25,Animation,7.3,3608,TRUE,FALSE,FALSE,FALSE
tt0213965,TV Movie,A Holiday Romance,1999,91,Drama,6.5,489,FALSE,FALSE,FALSE,TRUE
tt0214227,Feature Film,The Last Day of School Before Christmas,1975,88,Drama,6,35,TRUE,FALSE,FALSE,FALSE
tt0216621,TV Movie,A Christmas Carol,1999,95,Drama,7.4,10364,TRUE,FALSE,FALSE,FALSE
tt0216735,Feature Film,Holiday,1999,105,Comedy,6.4,67,FALSE,FALSE,FALSE,TRUE
tt0217978,Feature Film,'R Xmas,2001,85,Other,5.7,1588,TRUE,FALSE,FALSE,FALSE
tt0218066,Feature Film,A Calcutta Christmas,1999,53,Other,6.8,15,TRUE,FALSE,FALSE,FALSE
